Iteration,Time,Fitness,FEvals,max_iters,Algorithm
503,0.06383520000235876,1816.0,561.0,4096,SA
504,0.06397049999941373,1816.0,562.0,4096,SA
505,0.06410150000010617,1816.0,563.0,4096,SA
506,0.06423110000469023,1816.0,564.0,4096,SA
507,0.0643564999991213,1816.0,565.0,4096,SA
508,0.06448350000573555,1816.0,566.0,4096,SA
509,0.06460820000211243,1816.0,567.0,4096,SA
510,0.06473890000052052,1816.0,568.0,4096,SA
511,0.06486520000180462,1816.0,569.0,4096,SA
512,0.06499970000004396,1816.0,570.0,4096,SA
513,0.0669144999992568,1816.0,571.0,4096,SA
514,0.06704960000206484,1816.0,572.0,4096,SA
515,0.06717870000284165,1816.0,573.0,4096,SA
516,0.06730339999921853,1816.0,574.0,4096,SA
517,0.06743339999957243,1816.0,575.0,4096,SA
518,0.06755820000398671,1816.0,576.0,4096,SA
519,0.06768400000146357,1816.0,577.0,4096,SA
520,0.06781210000190185,1816.0,578.0,4096,SA
521,0.06794120000267867,1816.0,579.0,4096,SA
522,0.06807010000193259,1816.0,580.0,4096,SA
523,0.06819720000203233,1816.0,581.0,4096,SA
524,0.06832530000247061,1816.0,582.0,4096,SA
525,0.06845389999944018,1816.0,583.0,4096,SA
526,0.06858500000089407,1816.0,584.0,4096,SA
527,0.06871720000344794,1816.0,585.0,4096,SA
528,0.06884900000295602,1816.0,586.0,4096,SA
529,0.06898180000280263,1816.0,587.0,4096,SA
530,0.0691138000038336,1816.0,588.0,4096,SA
531,0.06925590000173543,1816.0,589.0,4096,SA
